Nazwa,Numer,Id
Port Lotniczy,1,101
Port Lotniczy,2,102
Port Lotniczy,3,103
Muzeum II Wojny Światowej,2,110
Wrzeszcz PKP,3,114
Wrzeszcz PKP,4,115
Wrzeszcz PKP,5,116
Oliwa PKP,4,117
Oliwa PKP,2,118
Oliwa PKP,3,119
Oliwa Pętla Tramwajowa,7,120
Żabianka SKM,2,121
Jelitkowo Kapliczna,3,122
Zaspa SKM,2,124
Nowy Port Szaniec Zachodni,2,125
Migowo,3,128
Chełm Cienista,1,130
Orunia Górna,1,132
Bartnicza,1,133
Chełm Cienista,2,134
Równa,1,135
Olszynka - Szkoła,2,137
Górki Zachodnie,1,139
Westerplatte,1,141
Górki Wschodnie,1,142
Przegalina,1,143
Lipuska,1,146
Bysewo,5,147
Matemblewo,1,150
Suchanino,1,151
Osowa Przesypownia,1,152
Niedźwiednik,1,153
Oliwa ZOO,1,154
Jelitkowo,6,159
Osowa PKP,3,161
Maćkowy,2,163
Chełm - Więckowskiego,1,167
Św. Wojciech,1,175
Kiełpino Górne,1,178
Kampinoska,1,183
Olimpijska,1,184
Łostowice Świętokrzyska,5,190
Łostowice Świętokrzyska,6,191
Zakoniczyn,1,194
Jaworzniaków,1,195
Jasień Pólnicy,1,199
Jelitkowo,2,201
Oliwa,3,202
Zaspa,3,203
Zaspa,4,204
Siedlce,3,205
Stogi,4,206
Stogi Plaża,1,207
Nowy Port Góreckiego,1,208
Nowy Port Oliwska,1,209
Brzeźno,1,210
Strzyża PKM,3,213
Chełm Witosa,1,220
Łostowice Świętokrzyska,1,221
Zajezdnia NOWY PORT,T1,292
Baza Hallera,T1,300
Muzeum II Wojny Światowej,1,310
Wrzeszcz PKP,6,313
Wrzeszcz PKP,1,314
Oliwa Pętla Tramwajowa,9,320
Żabianka SKM,1,321
Nowy Port Szaniec Zachodni,1,325
Chełm Cienista,3,334
Górki Wschodnie,2,342
Jelitkowo,5,359
Łostowice Świętokrzyska,4,390
Wały Piastowskie ,1,1000
Aksamitna,1,1001
Rybaki Górne,1,1002
Toruńska,1,1004
Wały Piastowskie,2,1009
Plac Komorowskiego,3,1011
Dworzec Główny,18,1013
Dworzec Główny,5,1014
Dworzec Główny,14,1015
Dworzec Główny,7,1016
Dworzec Główny,12,1017
Dworzec Główny,10,1019
Dworzec Główny,11,1020
Dworzec Główny,8,1021
Dworzec Główny,13,1022
Hucisko,4,1025
Hucisko,3,1026
Brama Wyżynna,5,1028
Brama Wyżynna,3,1030
Brama Wyżynna,4,1033
Pomorskie Szkoły Rzemiosł,4,1035
Chłodna,2,1036
Żabi Kruk,4,1037
Żabi Kruk,3,1038
Długie Ogrody,1,1041
Brama Żuławska,3,1042
Bajki,1,1043
Elbląska,5,1044
Dickensa,1,1045
Głęboka,01.,1046
Kaczeńce - Sienna,1,1047
Przeróbka,01.,1048
Zimna,01.,1049
Sucharskiego,3,1050
Stogi,03.,1051
Zimna,02.,1052
Sówki,1,1053
Stogi,6,1054
Steczka,1,1055
Sówki,2,1056
Kępna,1,1057
Steczka,2,1058
Baza Manipulacyjna,1,1059
Kępna,2,1060
Łęczycka,1,1061
Baza Manipulacyjna,2,1062
Łowicka,1,1063
Łęczycka,2,1064
Budzysza,1,1065
Łowicka,2,1066
Sucharskiego - PKP,1,1069
Sucharskiego - PKP,2,1070
Ku Ujściu,2,1072
Przystań Żeglugi,1,1079
Przystań Żeglugi,2,1080
Ku Ujściu,3,1081
Ku Ujściu,4,1082
Żarnowiecka,2,1088
Siennicka,1,1089
Siennicka,2,1090
